Preferensi Makanan,Jenis Suasana,Variasi Makanan,Features
Chinese,Santai,"Bakmie, Chinese, Aneka nasi","Chinese Santai Bakmie, Chinese, Aneka nasi"
Indonesia,Santai,Bakso & soto,Indonesia Santai Bakso & soto
Indonesia,Santai,"Bakso & soto, Bakmie","Indonesia Santai Bakso & soto, Bakmie"
Japanese,Formal,"Beverages, Japanese, Seafood","Japanese Formal Beverages, Japanese, Seafood"
Chinese,Santai,"Chinese, Ayam & bebek, Aneka nasi, Bakmie","Chinese Santai Chinese, Ayam & bebek, Aneka nasi, Bakmie"
Chinese,Santai,"Chinese, Seafood, Aneka nasi","Chinese Santai Chinese, Seafood, Aneka nasi"
Japanese,Santai,"Fast food, Japanese, Noodles","Japanese Santai Fast food, Japanese, Noodles"
Indonesia,Santai,"Jajanan, Bakso & soto, Aneka nasi","Indonesia Santai Jajanan, Bakso & soto, Aneka nasi"
Japanese,Santai,Japanese,Japanese Santai Japanese
Japanese,Santai,Japanese,Japanese Santai Japanese
Japanese,Santai,"Japanese, Chinese","Japanese Santai Japanese, Chinese"
Japanese,Santai,"Japanese, Rice, Chicken & duck","Japanese Santai Japanese, Rice, Chicken & duck"
Japanese,Santai,"Japanese, Rice, Fast food, Chicken & duck","Japanese Santai Japanese, Rice, Fast food, Chicken & duck"
Japanese,Santai,"Japanese, Rice, Sate","Japanese Santai Japanese, Rice, Sate"
Western,Santai,"Pizza & pasta, Rice, Western","Western Santai Pizza & pasta, Rice, Western"
Japanese,Santai,"Rice, Chicken & duck, Japanese","Japanese Santai Rice, Chicken & duck, Japanese"
Japanese,Formal,"Rice, Japanese, Chicken & duck","Japanese Formal Rice, Japanese, Chicken & duck"
Japanese,Santai,"Rice, Noodles, Japanese","Japanese Santai Rice, Noodles, Japanese"
Japanese,Santai,"Rice, Snacks, Japanese","Japanese Santai Rice, Snacks, Japanese"
Western,Santai,"Snacks, Western","Western Santai Snacks, Western"
Western,Santai,"Snacks, Western, Fast food","Western Santai Snacks, Western, Fast food"
Chinese,Santai,"Sweets, Chinese","Chinese Santai Sweets, Chinese"
Western,Santai,Western,Western Santai Western
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Beverages, Sate","Western Santai Western, Beverages, Sate"
Western,Santai,"Western, Chicken & duck, Rice","Western Santai Western, Chicken & duck, Rice"
Western,Santai,"Western, Snacks, Fast food","Western Santai Western, Snacks, Fast food"
Japanese,Santai,"Aneka nasi, Bakmie, Chinese","Japanese Santai Aneka nasi, Bakmie, Chinese"
Chinese,Santai,"Aneka nasi, Bakmie, Chinese","Chinese Santai Aneka nasi, Bakmie, Chinese"
Indonesia,Santai,"Aneka nasi, Bakso & soto, Ayam & bebek, Minuman","Indonesia Santai Aneka nasi, Bakso & soto, Ayam & bebek, Minuman"
Chinese,Santai,"Aneka nasi, Chinese, Bakmie","Chinese Santai Aneka nasi, Chinese, Bakmie"
Western,Santai,"Bakery, Beverages, Western","Western Santai Bakery, Beverages, Western"
Indonesia,Santai,Bakso & soto,Indonesia Santai Bakso & soto
Indonesia,Santai,Bakso & soto,Indonesia Santai Bakso & soto
Indonesia,Santai,Bakso & soto,Indonesia Santai Bakso & soto
Western,Santai,"Beverages, Pizza & pasta, Western","Western Santai Beverages, Pizza & pasta, Western"
Indonesia,Santai,"Cepat saji, Sate, Bakso & soto","Indonesia Santai Cepat saji, Sate, Bakso & soto"
Japanese,Santai,"Chicken & duck, Rice, Japanese","Japanese Santai Chicken & duck, Rice, Japanese"
Chinese,Santai,"Chinese, Ayam & bebek, Seafood","Chinese Santai Chinese, Ayam & bebek, Seafood"
Western,Santai,"Coffee, Western, Pizza & pasta","Western Santai Coffee, Western, Pizza & pasta"
Japanese,Formal,"Fast food, Japanese","Japanese Formal Fast food, Japanese"
Western,Santai,"Fast food, Western, Coffee","Western Santai Fast food, Western, Coffee"
Japanese,Formal,"Japanese, Fast food","Japanese Formal Japanese, Fast food"
Japanese,Formal,"Japanese, Noodles","Japanese Formal Japanese, Noodles"
Japanese,Santai,"Japanese, Rice, Korean, Snacks, Fast food","Japanese Santai Japanese, Rice, Korean, Snacks, Fast food"
Western,Formal,"Pizza & pasta, Fast food, Western","Western Formal Pizza & pasta, Fast food, Western"
Western,Santai,"Rice, Chicken & duck, Beverages, Snacks, Sweets, Western, Coffee, Pizza & pasta","Western Santai Rice, Chicken & duck, Beverages, Snacks, Sweets, Western, Coffee, Pizza & pasta"
Western,Santai,"Rice, Western, Beverages","Western Santai Rice, Western, Beverages"
Chinese,Santai,"Seafood, Chinese","Chinese Santai Seafood, Chinese"
Western,Santai,"Snacks, Fast food, Western","Western Santai Snacks, Fast food, Western"
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Coffee, Beverages","Western Santai Western, Coffee, Beverages"
Western,Santai,"Western, Japanese, Korean","Western Santai Western, Japanese, Korean"
Western,Santai,"Western, Japanese, Korean","Western Santai Western, Japanese, Korean"
Japanese,Formal,"Western, Japanese, Rice, Chicken & duck","Japanese Formal Western, Japanese, Rice, Chicken & duck"
Western,Santai,"Western, Snacks","Western Santai Western, Snacks"
Chinese,Santai,"Bakmie, Chinese","Chinese Santai Bakmie, Chinese"
Chinese,Santai,"Aneka nasi, Bakmie, Chinese","Chinese Santai Aneka nasi, Bakmie, Chinese"
Chinese,Santai,"Ayam & bebek, Chinese","Chinese Santai Ayam & bebek, Chinese"
Indonesia,Santai,"Bakmie, Bakso & soto","Indonesia Santai Bakmie, Bakso & soto"
Chinese,Santai,"Bakmie, Chinese","Chinese Santai Bakmie, Chinese"
Western,Santai,"Beverages, Western","Western Santai Beverages, Western"
Western,Santai,"Chicken & duck, Korean, Western","Western Santai Chicken & duck, Korean, Western"
Japanese,Formal,"Chicken & duck, Rice, Japanese","Japanese Formal Chicken & duck, Rice, Japanese"
Chinese,Santai,"Chinese, Aneka nasi, Bakmie","Chinese Santai Chinese, Aneka nasi, Bakmie"
Chinese,Santai,"Fast food, Chinese, Western","Chinese Santai Fast food, Chinese, Western"
Japanese,Santai,"Fast food, Japanese, Snacks","Japanese Santai Fast food, Japanese, Snacks"
Indonesia,Santai,"Jajanan, Bakso & soto","Indonesia Santai Jajanan, Bakso & soto"
Japanese,Santai,"Japanese, Rice","Japanese Santai Japanese, Rice"
Western,Santai,"Rice, Fast food, Western","Western Santai Rice, Fast food, Western"
Japanese,Santai,"Snacks, Japanese, Sate","Japanese Santai Snacks, Japanese, Sate"
Western,Santai,"Snacks, Western","Western Santai Snacks, Western"
Western,Santai,Western,Western Santai Western
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Fast food, Chicken & duck","Western Santai Western, Fast food, Chicken & duck"
Chinese,Santai,"Bakmie, Bakso & soto, Chinese","Chinese Santai Bakmie, Bakso & soto, Chinese"
Chinese,Santai,"Aneka nasi, Bakmie, Chinese","Chinese Santai Aneka nasi, Bakmie, Chinese"
Indonesia,Santai,"Aneka nasi, Bakso & soto","Indonesia Santai Aneka nasi, Bakso & soto"
Indonesia,Santai,"Bakso & soto, Ayam & bebek, Aneka nasi","Indonesia Santai Bakso & soto, Ayam & bebek, Aneka nasi"
Western,Santai,"Beverages, Rice, Western","Western Santai Beverages, Rice, Western"
Japanese,Santai,"Chinese, Jajanan","Japanese Santai Chinese, Jajanan"
Japanese,Formal,"Japanese, Fast food","Japanese Formal Japanese, Fast food"
Japanese,Formal,"Japanese, Fast food","Japanese Formal Japanese, Fast food"
Japanese,Formal,"Japanese, Fast food, Rice","Japanese Formal Japanese, Fast food, Rice"
Japanese,Santai,"Japanese, Rice, Noodles","Japanese Santai Japanese, Rice, Noodles"
Western,Formal,"Pizza & pasta, Fast food, Western","Western Formal Pizza & pasta, Fast food, Western"
Western,Formal,"Pizza & pasta, Fast food, Western","Western Formal Pizza & pasta, Fast food, Western"
Western,Santai,"Pizza & pasta, Snacks, Western","Western Santai Pizza & pasta, Snacks, Western"
Chinese,Santai,"Seafood, Bakmie, Chinese","Chinese Santai Seafood, Bakmie, Chinese"
Chinese,Santai,"Seafood, Chinese","Chinese Santai Seafood, Chinese"
Japanese,Formal,"Snacks, Beverages, Japanese, Coffee, Korean","Japanese Formal Snacks, Beverages, Japanese, Coffee, Korean"
Western,Santai,"Snacks, Western","Western Santai Snacks, Western"
Western,Formal,Western,Western Formal Western
Western,Santai,"Western, Fast food, Chicken & duck","Western Santai Western, Fast food, Chicken & duck"
Middle Eastern,Santai,"Western, Middle Eastern, Snacks","Middle Eastern Santai Western, Middle Eastern, Snacks"
Chinese,Santai,"Bakmie, Chinese","Chinese Santai Bakmie, Chinese"
Chinese,Santai,"Bakmie, Chinese","Chinese Santai Bakmie, Chinese"
Chinese,Santai,"Aneka nasi, Bakmie, Chinese","Chinese Santai Aneka nasi, Bakmie, Chinese"
Indonesia,Santai,"Aneka nasi, Bakso & soto, Seafood","Indonesia Santai Aneka nasi, Bakso & soto, Seafood"
Chinese,Santai,"Ayam & bebek, Chinese, Aneka nasi","Chinese Santai Ayam & bebek, Chinese, Aneka nasi"
Indonesia,Santai,"Bakso & soto, Aneka nasi, Bakmie","Indonesia Santai Bakso & soto, Aneka nasi, Bakmie"
Japanese,Santai,"Chicken & duck, Japanese, Beverages","Japanese Santai Chicken & duck, Japanese, Beverages"
Western,Santai,"Chicken & duck, Western, Fast food","Western Santai Chicken & duck, Western, Fast food"
Chinese,Santai,Chinese,Chinese Santai Chinese
Western,Formal,"Fast food, Beverages, Western","Western Formal Fast food, Beverages, Western"
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Santai,"Japanese, Noodles, Korean","Japanese Santai Japanese, Noodles, Korean"
Japanese,Santai,"Rice, Japanese, Seafood","Japanese Santai Rice, Japanese, Seafood"
Western,Santai,"Rice, Western, Sate","Western Santai Rice, Western, Sate"
Western,Santai,Western,Western Santai Western
Western,Formal,"Western, Pizza & pasta","Western Formal Western, Pizza & pasta"
Western,Santai,"Western, Pizza & pasta","Western Santai Western, Pizza & pasta"
Western,Santai,"Western, Snacks, Pizza & pasta","Western Santai Western, Snacks, Pizza & pasta"
Japanese,Santai,"Bakery, Japanese, Coffee","Japanese Santai Bakery, Japanese, Coffee"
Chinese,Santai,"Bakmie, Seafood, Chinese","Chinese Santai Bakmie, Seafood, Chinese"
Japanese,Formal,"Beverages, Seafood, Japanese","Japanese Formal Beverages, Seafood, Japanese"
Chinese,Santai,"Cepat saji, Chinese, Aneka nasi","Chinese Santai Cepat saji, Chinese, Aneka nasi"
Japanese,Santai,"Chicken & duck, Japanese, Rice","Japanese Santai Chicken & duck, Japanese, Rice"
Chinese,Santai,"Chinese, Japanese","Chinese Santai Chinese, Japanese"
Western,Santai,"Coffee, Snacks, Western","Western Santai Coffee, Snacks, Western"
Japanese,Formal,"Japanese, Rice","Japanese Formal Japanese, Rice"
Japanese,Santai,"Japanese, Rice","Japanese Santai Japanese, Rice"
Western,Santai,"Rice, Chicken & duck, Western","Western Santai Rice, Chicken & duck, Western"
Japanese,Santai,"Rice, Japanese","Japanese Santai Rice, Japanese"
Japanese,Santai,"Sate, Rice, Japanese","Japanese Santai Sate, Rice, Japanese"
Western,Santai,Western,Western Santai Western
Western,Santai,Western,Western Santai Western
Western,Santai,Western,Western Santai Western
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Middle Eastern, Snacks","Western Santai Western, Middle Eastern, Snacks"
Western,Santai,"Western, Pizza & pasta, Noodles, Seafood","Western Santai Western, Pizza & pasta, Noodles, Seafood"
Chinese,Santai,"Chinese, Bakmie","Chinese Santai Chinese, Bakmie"
Indonesia,Santai,"Bakso & soto, Aneka nasi, Ayam & bebek","Indonesia Santai Bakso & soto, Aneka nasi, Ayam & bebek"
Indonesia,Santai,"Bakso & soto, Aneka nasi, Korea","Indonesia Santai Bakso & soto, Aneka nasi, Korea"
Indonesia,Santai,"Bakso & soto, Bakmie","Indonesia Santai Bakso & soto, Bakmie"
Indonesia,Santai,"Bakso & soto, Minuman, Cepat saji","Indonesia Santai Bakso & soto, Minuman, Cepat saji"
Japanese,Formal,"Fast food, Japanese, Chicken & duck, Rice, Coffee","Japanese Formal Fast food, Japanese, Chicken & duck, Rice, Coffee"
Western,Santai,"Fast food, Sweets, Western","Western Santai Fast food, Sweets, Western"
Indonesia,Santai,"Jajanan, Aneka nasi, Bakso & soto","Indonesia Santai Jajanan, Aneka nasi, Bakso & soto"
Indonesia,Santai,"Jajanan, Bakso & soto, Bakmie","Indonesia Santai Jajanan, Bakso & soto, Bakmie"
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Formal,"Japanese, Fast food, Rice","Japanese Formal Japanese, Fast food, Rice"
Japanese,Santai,"Japanese, Rice, Chicken & duck","Japanese Santai Japanese, Rice, Chicken & duck"
Japanese,Santai,"Japanese, Rice, Fast food, Chicken & duck","Japanese Santai Japanese, Rice, Fast food, Chicken & duck"
Western,Santai,"Rice, Beverages, Western","Western Santai Rice, Beverages, Western"
Japanese,Santai,"Rice, Fast food, Japanese","Japanese Santai Rice, Fast food, Japanese"
Japanese,Santai,"Sweets, Japanese, Noodles","Japanese Santai Sweets, Japanese, Noodles"
Western,Santai,Western,Western Santai Western
Western,Santai,Western,Western Santai Western
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Rice","Western Santai Western, Rice"
Western,Santai,"Western, Rice, Fast food","Western Santai Western, Rice, Fast food"
Chinese,Formal,"Aneka nasi, Ayam & bebek, Chinese","Chinese Formal Aneka nasi, Ayam & bebek, Chinese"
Chinese,Santai,"Bakmie, Chinese","Chinese Santai Bakmie, Chinese"
Chinese,Santai,"Chinese, Bakmie","Chinese Santai Chinese, Bakmie"
Chinese,Santai,"Aneka nasi, Bakmie, Chinese","Chinese Santai Aneka nasi, Bakmie, Chinese"
Indonesia,Santai,"Bakmie, Bakso & soto","Indonesia Santai Bakmie, Bakso & soto"
Chinese,Santai,"Bakmie, Chinese","Chinese Santai Bakmie, Chinese"
Indonesia,Santai,Bakso & soto,Indonesia Santai Bakso & soto
Indonesia,Santai,"Bakso & soto, Cepat saji, Aneka nasi","Indonesia Santai Bakso & soto, Cepat saji, Aneka nasi"
Chinese,Santai,"Chinese, Aneka nasi, Ayam & bebek","Chinese Santai Chinese, Aneka nasi, Ayam & bebek"
Indonesia,Santai,"Jajanan, Bakso & soto, Bakmie","Indonesia Santai Jajanan, Bakso & soto, Bakmie"
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Formal,"Japanese, Korean","Japanese Formal Japanese, Korean"
Japanese,Santai,"Japanese, Snacks","Japanese Santai Japanese, Snacks"
Japanese,Santai,"Rice, Chicken & duck, Japanese","Japanese Santai Rice, Chicken & duck, Japanese"
Indonesia,Santai,"Sate, Aneka nasi, Bakso & soto","Indonesia Santai Sate, Aneka nasi, Bakso & soto"
Chinese,Santai,"Seafood, Aneka nasi, Chinese","Chinese Santai Seafood, Aneka nasi, Chinese"
Japanese,Formal,"Snacks, Beverages, Japanese, Coffee, Korean","Japanese Formal Snacks, Beverages, Japanese, Coffee, Korean"
Japanese,Formal,"Snacks, Beverages, Japanese, Coffee, Korean","Japanese Formal Snacks, Beverages, Japanese, Coffee, Korean"
Western,Santai,"Snacks, Fast food, Western","Western Santai Snacks, Fast food, Western"
Western,Formal,Western,Western Formal Western
Western,Formal,"Western, Pizza & pasta","Western Formal Western, Pizza & pasta"
Chinese,Santai,"Aneka nasi, Ayam & bebek, Chinese","Chinese Santai Aneka nasi, Ayam & bebek, Chinese"
Chinese,Santai,"Bakmie, Chinese, Aneka nasi","Chinese Santai Bakmie, Chinese, Aneka nasi"
Indonesia,Santai,Bakso & soto,Indonesia Santai Bakso & soto
Indonesia,Santai,"Bakso & soto, Sate","Indonesia Santai Bakso & soto, Sate"
Western,Santai,"Chicken & duck, Western","Western Santai Chicken & duck, Western"
Western,Formal,"Chicken & duck, Western, Fast food","Western Formal Chicken & duck, Western, Fast food"
Japanese,Formal,"Fast food, Japanese","Japanese Formal Fast food, Japanese"
Indonesia,Santai,"Jajanan, Aneka nasi, Bakso & soto","Indonesia Santai Jajanan, Aneka nasi, Bakso & soto"
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Formal,"Japanese, Rice, Chicken & duck","Japanese Formal Japanese, Rice, Chicken & duck"
Japanese,Formal,"Japanese, Rice, Fast food, Chicken & duck","Japanese Formal Japanese, Rice, Fast food, Chicken & duck"
Japanese,Formal,"Japanese, Rice, Snacks","Japanese Formal Japanese, Rice, Snacks"
Japanese,Santai,"Rice, Chicken & duck, Japanese","Japanese Santai Rice, Chicken & duck, Japanese"
Japanese,Santai,"Rice, Fast food, Japanese","Japanese Santai Rice, Fast food, Japanese"
Western,Formal,Western,Western Formal Western
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Fast food","Western Santai Western, Fast food"
Western,Santai,"Western, Fast food","Western Santai Western, Fast food"
Chinese,Santai,"Aneka nasi, Chinese, Sate","Chinese Santai Aneka nasi, Chinese, Sate"
Chinese,Santai,"Bakmie, Aneka nasi, Chinese","Chinese Santai Bakmie, Aneka nasi, Chinese"
Indonesia,Santai,"Bakmie, Jajanan, Bakso & soto","Indonesia Santai Bakmie, Jajanan, Bakso & soto"
Indonesia,Santai,"Bakso & soto, Ayam & bebek","Indonesia Santai Bakso & soto, Ayam & bebek"
Indonesia,Santai,"Bakso & soto, Cepat saji, Jajanan","Indonesia Santai Bakso & soto, Cepat saji, Jajanan"
Indonesia,Santai,"Bakso & soto, Cepat saji, Minuman","Indonesia Santai Bakso & soto, Cepat saji, Minuman"
Western,Santai,"Beverages, Coffee, Western","Western Santai Beverages, Coffee, Western"
Western,Santai,"Chicken & duck, Western, Fast food","Western Santai Chicken & duck, Western, Fast food"
Chinese,Santai,"Chinese, Aneka nasi, Bakmie","Chinese Santai Chinese, Aneka nasi, Bakmie"
Chinese,Santai,"Chinese, Aneka nasi, Seafood","Chinese Santai Chinese, Aneka nasi, Seafood"
Western,Santai,"Coffee, Western, Beverages","Western Santai Coffee, Western, Beverages"
Japanese,Santai,"Fast food, Japanese, Rice","Japanese Santai Fast food, Japanese, Rice"
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Santai,Japanese,Japanese Santai Japanese
Japanese,Santai,Japanese,Japanese Santai Japanese
Japanese,Formal,"Japanese, Noodles","Japanese Formal Japanese, Noodles"
Japanese,Santai,"Rice, Fast food, Japanese","Japanese Santai Rice, Fast food, Japanese"
Japanese,Santai,"Snacks, Beverages, Japanese","Japanese Santai Snacks, Beverages, Japanese"
Japanese,Formal,"Snacks, Beverages, Japanese, Coffee, Korean","Japanese Formal Snacks, Beverages, Japanese, Coffee, Korean"
Western,Santai,"Snacks, Fast food, Western","Western Santai Snacks, Fast food, Western"
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Pizza & pasta, Rice, Chicken & duck, Bakso & soto","Western Santai Western, Pizza & pasta, Rice, Chicken & duck, Bakso & soto"
Western,Santai,"Western, Snacks","Western Santai Western, Snacks"
Western,Santai,"Western, Snacks, Fast food","Western Santai Western, Snacks, Fast food"
Japanese,Formal,"Japanese, Rice, Chicken & duck","Japanese Formal Japanese, Rice, Chicken & duck"
